▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
長柄町役場／都市農村交流センター,297-0231,千葉県,長生郡長柄町,山之郷70-15,0475-35-0055,0475-35-2323,http://wakuwaku-nagara.com/,市区町村機関,
塩田病院附属福島孝徳記念クリニック,N.A.,千葉県,長生郡長柄町,国府里550-1,0475-35-0099,N.A.,http://www.s-fmc.jp/,医院・診療所・療養所,
F・S・Cグリーンフィールド,N.A.,千葉県,長生郡長柄町,六地蔵357-12,0475-35-0102,0475-35-0103,http://www.fsc-greenfield.com/,アウトドア,
ほしの郷,297-0215,千葉県,長生郡長柄町,鴇谷982,0475-35-0505,0475-46-4114,http://www.shafuku-kyouseikai.or.jp/,介護・福祉,
有限会社千葉グリーン技研,N.A.,千葉県,長生郡長柄町,長柄山字美佐子台1162-94,0475-35-0758,0475-35-1344,http://www.chibagreen.co.jp/,農業,
アンデルセン,N.A.,千葉県,長生郡長柄町,針ケ谷136-16,0475-35-1061,0475-35-1062,http://www.andersen.co.jp/,製造・加工（食料品）,
ミルフィーユゴルフクラブ,297-0234,千葉県,長生郡長柄町,長柄山1095-1,0475-35-1110,0475-35-1115,http://www.milgolf.co.jp/,ゴルフ,
セブンイレブン／長柄国府里店,N.A.,千葉県,長生郡長柄町,国府里536-1,0475-35-1123,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
千葉市少年自然の家,N.A.,千葉県,長生郡長柄町,針ケ谷1591-40,0475-35-1131,0475-35-1134,http://www.chiba-shizen.jp/,アウトソーシング,
日本海上工事株式会社,297-0231,千葉県,長生郡長柄町,山之郷字宮ノ前233-112,0475-35-1240,0475-35-1242,http://www.kaijyokouji.co.jp/,建設業・工務店,
株式会社アメニティジョイハウス,N.A.,千葉県,長生郡長柄町,六地蔵685-1,0475-35-1380,0475-35-3169,http://www.amenity-group.co.jp/,リフォーム,
みどり産業株式会社,N.A.,千葉県,長生郡長柄町,長柄山1162-28,0475-35-1518,0475-35-1518,http://www.midori-sangyou.co.jp/,その他サービス,
ミルフィーユゴルフクラブ／予約専用,297-0234,千葉県,長生郡長柄町,長柄山1095-1,0475-35-1717,0475-35-1115,http://www.milgolf.co.jp/,ゴルフ,
JA長生／長柄直売所,N.A.,千葉県,長生郡長柄町,立鳥850-2,0475-35-1831,0475-35-1832,http://www.ja-chosei.or.jp/,組合・団体,
房総浮世絵美術館,N.A.,千葉県,長生郡長柄町,大庭172,0475-35-2001,0475-35-2001,http://www.iroha.in/,博物館・美術館,
郵便局株式会社,297-0214,千葉県,長生郡長柄町,長富78-6,0475-35-2005,N.A.,http://map.japanpost.jp/,その他サービス,
長柄町役場／総務課／総務企画班,N.A.,千葉県,長生郡長柄町,桜谷712,0475-35-2111,0475-35-4732,http://www.town.nagara.chiba.jp/,市区町村機関,
ジャパンフーズ株式会社,N.A.,千葉県,長生郡長柄町,皿木203番地1,0475-35-2211,0475-35-2216,http://www.japanfoods.co.jp/,製造・加工（その他）,
医療法人財団健康医学研究会,297-0201,千葉県,長生郡長柄町,上野521-4,0475-35-2222,0475-35-2225,http://www.seimei-no-mori.com/,医院・診療所・療養所,
株式会社ウォーターネット,N.A.,千葉県,長生郡長柄町,皿木203-1､ジャパンフーズ,0475-35-2324,0475-35-2475,http://www.waternet-inc.com/,製造・加工（その他）,
長柄メンタルクリニック,N.A.,千葉県,長生郡長柄町,六地蔵211-7,0475-35-2466,N.A.,http://www.bo-so.net/,医院・診療所・療養所,
八平の食堂,297-0206,千葉県,長生郡長柄町,山根1201,0475-35-2467,N.A.,http://ariranramen.com/,和食,
郵便局株式会社,N.A.,千葉県,長生郡長柄町,六地蔵33-1,0475-35-2504,0475-35-4764,http://map.japanpost.jp/,その他サービス,
郵便局株式会社,297-0299,千葉県,長生郡長柄町,刑部753,0475-35-2505,0475-35-4692,http://map.japanpost.jp/,その他サービス,
アルビンFCスクール,N.A.,千葉県,長生郡長柄町,長柄山220,0475-35-2511,0475-35-2514,http://www.aerbinsportspark.com/,サッカー,
オネスト株式会社,297-0231,千葉県,長生郡長柄町,山之郷466-3,0475-35-2944,N.A.,http://www.honest.co.jp/,製造・加工（金属製品）,
中部興産株式会社,N.A.,千葉県,長生郡長柄町,立鳥381-4,0475-35-3328,0475-35-4172,http://www.chubukousan.co.jp/,総合・職別工事業,
日本エアロビクスセンター,N.A.,千葉県,長生郡長柄町,上野521-4,0475-35-3333,0475-35-2313,http://www.seimei-no-mori.com/,スポーツ,
長柄町商工会,N.A.,千葉県,長生郡長柄町,桜谷687,0475-35-3450,0475-35-1465,http://nagara.sakura.ne.jp/,組合・団体,
株式会社宝洋,279-0235,千葉県,長生郡長柄町,皿木165-12,0475-35-3555,0475-35-2282,http://www.hoyoinc.co.jp/,販売・卸（その他）,
池澤加工株式会社,N.A.,千葉県,長生郡長柄町,上野204,0475-35-3724,0475-35-3302,http://ikezawa-kako.jp/,製造・加工（生活雑貨・日用品）,
大崎電気システムズ株式会社,297-0292,千葉県,長生郡長柄町,鴇谷163,0475-35-3811,0475-35-5275,http://www.systems.osaki.co.jp/,製造・加工（電子・精密機械器具）,
はぎわら農園,N.A.,千葉県,長生郡長柄町,山之郷601-139,0475-47-3953,N.A.,http://www2.tbb.t-com.ne.jp/,観光・温泉・銭湯,
太陽建設株式会社,N.A.,千葉県,長生郡長柄町,針ケ谷打込1643,0475-35-4108,0475-35-4563,http://kk-taiyo.com/,建設業・工務店,
大崎電気システムズ株式会社／千葉工場／製造部,297-0215,千葉県,長生郡長柄町,鴇谷163,0475-35-4111,N.A.,http://www.osaki-systems.com/,製造・加工（電子・精密機械器具）,
大崎電気システムズ株式会社／千葉工場／技術課,N.A.,千葉県,長生郡長柄町,鴇谷163,0475-35-4400,N.A.,http://www.osaki-systems.com/,製造・加工（電子・精密機械器具）,
大崎電気システムズ株式会社／千葉工場／業務グループ,N.A.,千葉県,長生郡長柄町,鴇谷163,0475-35-4501,N.A.,http://www.osaki-systems.com/,製造・加工（電子・精密機械器具）,
株式会社東葉製作所,N.A.,千葉県,長生郡長柄町,国府里687,0475-35-4565,043-265-3783,http://toyo-seisaku.com/,製造・加工（金属製品）,
道の駅ながら,N.A.,千葉県,長生郡長柄町,六地蔵138-1,0475-35-4741,N.A.,http://www.ktr.mlit.go.jp/,道の駅,
京葉スピードランド,N.A.,千葉県,長生郡長柄町,長柄山558-4,0475-35-4780,N.A.,http://s-1gp.net/,スポーツ施設,
コスモライフ株式会社,N.A.,千葉県,長生郡長柄町,上野202-6,0475-35-5099,0475-35-3302,http://www.cosmolife.jp/,士業・コンサルタント,
牛久ペットセンター,N.A.,千葉県,長生郡長柄町,山根1693,0475-35-5106,0265-79-7977,http://www.kittou-pet.jp/,ペットショップ,
医療法人社団聖光会聖光会病院,297-0216,千葉県,長生郡長柄町,立鳥745-1,0475-35-5151,N.A.,http://www.seikoukai-hp.or.jp/,医院・診療所・療養所,
シンワ工業株式会社,N.A.,千葉県,長生郡長柄町,山根1574-5,0475-35-5161,03-3947-0138,http://www.shinwa-ism.jp/,製造・加工（金属製品）,
アマドック株式会社／千葉事業所,N.A.,千葉県,長生郡長柄町,鴇谷1646-1,0475-35-5211,0475-35-5213,http://www.chuokai-chiba.or.jp/chuokai2/,総合・職別工事業,
株式会社アメニティ,N.A.,千葉県,長生郡長柄町,山根1981,0475-35-5220,N.A.,http://www.amenity-group.co.jp/,不動産,
森の鍼灸院,N.A.,千葉県,長生郡長柄町,上野487-6,0475-35-5383,N.A.,http://morinonaka.secret.jp/,あん摩・はり・きゅう,
株式会社大阪大松運輸,N.A.,千葉県,長生郡長柄町,山根1702-6,0475-35-5421,0475-35-5425,http://www.o-daimatsu.co.jp/,運送・貨物・倉庫,
大成ロテック株式会社,297-0234,千葉県,長生郡長柄町,長柄山964-82,0475-35-5511,0475-35-5888,http://www.taiseirotec.co.jp/,建設業・工務店,
大成ロテック株式会社長柄営業所,N.A.,千葉県,長生郡長柄町,長柄山964-82,0475-35-5526,N.A.,http://www.taiseirotec.co.jp/,製造・加工（建築資材）,
介護老人保健施設長柄ケアセンター,N.A.,千葉県,長生郡長柄町,立鳥597-2,0475-35-5550,0475-35-5240,http://www.seikoukai-hp.or.jp/,介護・福祉,
有限会社ユーシン産業,N.A.,千葉県,長生郡長柄町,大津倉897-1,0475-35-5633,N.A.,http://www.u-shin-ltd.com/,製造・加工（工作機械・一般機械器具）,
セブンイレブン／長柄立鳥店,N.A.,千葉県,長生郡長柄町,立鳥967-5,0475-35-5858,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
永代事業所株式会社,N.A.,千葉県,長生郡長柄町,六地蔵335-3,0475-30-6511,03-3667-5455,http://www.eitai.com/,リフォーム,
有限会社ノスタルジック,N.A.,千葉県,長生郡長柄町,山之郷491-76,0475-30-7100,0475-30-7101,https://nostalgic-car.wev.jp/,車検・整備・修理,
株式会社ヒロプラス,N.A.,千葉県,長生郡長柄町,長柄山1162-11,0475-30-7120,0475-30-7121,http://www.hiro-plus.com/,製造・加工（化学・プラスチック）,
南総通運株式会社,N.A.,千葉県,長生郡長柄町,山根1193-1,0475-30-7333,N.A.,http://www.nanso.co.jp/,運送・貨物・倉庫,
ながら苑,N.A.,千葉県,長生郡長柄町,立鳥745-1,0475-30-7388,0475-35-5240,http://www.seikoukai-hp.or.jp/,介護・福祉,
太陽建設株式会社,297-0217,千葉県,長生郡長柄町,六地蔵541-1,0475-30-7888,0475-35-1775,http://kk-taiyo.com/,建設業・工務店,
