▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
青森地域広域消防事務組合／中央消防署／沖館分署,038-0002,青森県,青森市,沖館3丁目2-53,017-781-0002,N.A.,http://www.city-aomori119.jp/,消防・警察,
ホンダカーズ青森／浜田店,030-0843,青森県,青森市,大字浜田字玉川345,017-739-0005,017-739-0006,http://www.h4kt.co.jp/,車検・整備・修理,
東亜道路工業株式会社,030-0933,青森県,青森市,大字諏訪沢字岩田33-2,017-726-0006,017-726-7313,http://www.toadoro.co.jp/,建設業・工務店,
アイズスタイルホーム,030-0966,青森県,青森市,花園2丁目9-30,017-752-0007,017-752-0008,https://www.facebook.com/isstylehome.jp/?_fb_noscript=1,総合・職別工事業,
西田酒造店,038-0059,青森県,青森市,大字油川字大浜46,017-788-0007,017-788-2553,http://www.densyu.co.jp/,酒・飲料品,
MiK株式会社,030-0812,青森県,青森市,堤町2丁目1-3-7F,017-777-0008,017-777-0009,http://www.mik-group.co.jp/,製造・加工（医療・薬関連）,
ブックオフ青森東バイパス店,030-0919,青森県,青森市,はまなす2丁目1-31,017-737-0013,N.A.,http://www.bookoff.co.jp/,本,
有限会社ティーエム管理,030-0813,青森県,青森市,松原三丁目14-27タケダビル2F208号,017-721-0013,017-777-7115,http://www.tmkanri.jp/,ビルメンテナンス,
小巾亭,030-0931,青森県,青森市,大字平新田字森越11-8,017-737-0022,017-737-0021,http://kogintei.jp/,そば・うどん,
株式会社魚の大西,030-0803,青森県,青森市,安方1丁目5-21,017-773-0024,017-773-7164,http://www.sakana-oonishi.co.jp/,食料品,
株式会社吉田システム青森営業所,030-0812,青森県,青森市,堤町1丁目6-7-3F,017-721-0025,017-721-0027,http://www.ys-sys.co.jp/,電話・通信,
株式会社九堂興業,038-0031,青森県,青森市,大字三内字沢部328-3,017-763-0031,017-763-0030,http://www.kudoukougyou.co.jp/,総合・職別工事業,
羽白開発／事務所,038-0058,青森県,青森市,大字羽白字野木和135-9,017-788-0032,017-788-8999,http://www.hajirofarm.or.jp/,食料品,
株式会社ジャスマックプロパティマネジメント,030-0802,青森県,青森市,本町2-7-21,017-735-0033,017-775-3330,http://www.jasmac.co.jp/,不動産,
青森市立／篠田小学校,038-0011,青森県,青森市,篠田3丁目16-2,017-781-0033,017-781-0045,http://aomoricity.ed.jp/,小・中・高・大学等,
小巾亭／西バイパス店,038-0003,青森県,青森市,大字石江字高間38-1,017-781-0042,017-781-0041,http://kogintei.jp/,そば・うどん,
株式会社みちのくテック,030-0811,青森県,青森市,青柳1丁目16-93,017-773-0043,017-773-0044,http://www.hongsheng-dg.com/,ビルメンテナンス,
カーサ・コモド／管理事務所,030-0847,青森県,青森市,東大野1丁目20-16,017-739-0044,017-729-3332,http://casacomodo.com/,不動産,
モーターサイクルワンド,030-0821,青森県,青森市,勝田1丁目2-13,017-735-0053,017-735-0053,https://motorcycle-wand.jimdofree.com/,バイク中古・買取,
株式会社セイホウ,038-0042,青森県,青森市,新城山田675-6,017-788-0055,017-788-0345,http://www.seihou.co.jp/,製造・加工（化学・プラスチック）,
有限会社ローズリー資源,030-0955,青森県,青森市,大字駒込字深沢5-303,017-744-057,N.A.,http://www.rozure.com/,その他サービス,
おきだて保育園,038-0001,青森県,青森市,新田2丁目21-18,017-781-0059,017-783-3359,http://www.wing-okidate.com/,幼稚園・保育施設,
FLEX,038-0006,青森県,青森市,三好2丁目3-19,017-766-0070,N.A.,http://flex-vision.net/,美容院・理容店・毛髪業,
ドリーム工房,030-0966,青森県,青森市,花園2丁目9-37,017-763-0070,017-763-0071,http://www17.plala.or.jp/,介護・福祉,
トゥルーピクト,030-0936,青森県,青森市,大字矢田前字本泉21-30,017-718-0071,N.A.,http://www2.plala.or.jp/,IT・情報通信,
株式会社こがわ,030-0142,青森県,青森市,大字野木字野尻37番地91,017-752-0072,017-752-0073,http://www.kogawa-print.com/,印刷・出版,
ビルシャナ（NPO法人）,038-0004,青森県,青森市,富田2丁目15-7,017-763-0073,017-763-0074,http://vairaomori.exblog.jp/,介護・福祉,
たかはし歯科クリニック,030-0862,青森県,青森市,古川3-15-1,017-775-0077,N.A.,http://www.takahashishika.com/,医院・診療所・療養所,
フードマルシェ,038-0012,青森県,青森市,柳川1丁目4-2,017-774-0077,N.A.,https://food-marche.tumblr.com/#_=_,贈り物・みやげ,
株式会社読売旅行青森営業所,030-0802,青森県,青森市,本町1丁目2-20,017-721-0077,017-721-0079,http://www.yomiuri-ryokou.co.jp/,旅行業・代理店,
青森県警察本部／青森県運転免許センター／運転免許課,038-0031,青森県,青森市,大字三内字丸山198-4,017-782-0081,N.A.,http://www.police.pref.aomori.jp/,消防・警察,
青森県警察本部／青森県運転免許センター／運転免許テレホンサービス／運転免許証更新手続き案内,038-0031,青森県,青森市,大字三内字丸山198-4,017-782-0091,N.A.,http://www.police.pref.aomori.jp/,消防・警察,
青森県警察本部／青森県運転免許センター／運転免許テレホンサービス／運転免許証再交付手続き案内,038-0031,青森県,青森市,大字三内字丸山198-4,017-782-0092,017-782-0093,http://www.police.pref.aomori.jp/,消防・警察,
高砂商工株式会社／青森営業所,039-3505,青森県,青森市,大字宮田字玉水531-11,017-726-0093,017-726-0094,http://www.takasago-sk.co.jp/,総合・職別工事業,
青森県警察本部／青森県運転免許センター／運転免許テレホンサービス／運転免許証再取得手続き案内,038-0031,青森県,青森市,大字三内字丸山198-4,017-782-0093,N.A.,http://www.police.pref.aomori.jp/,消防・警察,
青森県警察本部／青森県運転免許センター／運転免許テレホンサービス／運転免許試験手続き案内,038-0031,青森県,青森市,大字三内字丸山198-4,017-782-0094,N.A.,http://www.police.pref.aomori.jp/,消防・警察,
株式会社トヨタレンタリース青森／新青森駅西口店,038-0003,青森県,青森市,大字石江字高間104-79,017-782-0100,017-763-1050,http://rent.toyota.co.jp/,リース・レンタル,
株式会社トヨタレンタリース青森／青森新田店,038-0001,青森県,青森市,新田3丁目6-4,017-781-0100,017-761-5115,http://www.r-aom.co.jp/,リース・レンタル,
株式会社トヨタレンタリース青森／青森造道店,030-0914,青森県,青森市,岡造道2丁目10-3,017-741-0100,017-744-0744,https://rent.toyota.co.jp/,リース・レンタル,
株式会社トヨタレンタリース青森／中央店,030-0111,青森県,青森市,大字荒川字藤戸135-2,017-739-0100,017-739-9230,https://rent.toyota.co.jp/,リース・レンタル,
街のカメラやさん／花園店,030-0966,青森県,青森市,花園2丁目22-8,017-742-0101,017-762-3434,http://www.matikame.com/,生活用品,
青森県庁／青森県総合社会教育センター／ふれあいテレホン・家庭教育電話相談,030-0111,青森県,青森市,大字荒川字藤戸119-7,017-739-0101,017-734-8031,http://www.pref.aomori.lg.jp/,都道府県機関,
青森県警察本部／青森警察署,030-0803,青森県,青森市,安方2丁目15-9,017-723-0110,N.A.,http://www.police.pref.aomori.jp/,消防・警察,
エースコンタクトサンロード青森店,030-0845,青森県,青森市,緑3丁目9-2,017-763-0111,N.A.,http://goace.jp/,生活用品,
トヨタカローラ青森株式会社／西滝店,038-0031,青森県,青森市,大字三内字稲元90-1,017-766-0111,017-773-8345,http://www.toyota-ca.co.jp/,自動車販売,
ユニバース／沖館店,038-0002,青森県,青森市,沖館1丁目1-44,017-782-0111,0178-21-1811,http://www.universe.co.jp/,食料品,
株式会社サイトーホーム,N.A.,青森県,青森市,浜館1丁目6番地11,017-741-0111,017-743-3005,http://www.saitohome.co.jp/,建設業・工務店,
青森日産自動車株式会社,038-0031,青森県,青森市,大字三内字稲元86,017-781-0111,017-781-0110,https://ni-aomori.nissan-dealer.jp/,車検・整備・修理,
青森日産自動車株式会社／本店,038-0031,青森県,青森市,大字三内字稲元86,017-781-0112,017-766-8698,https://ni-aomori.nissan-dealer.jp/,車検・整備・修理,
株式会社トヨタレンタリース青森／青森空港店,030-0155,青森県,青森市,大字大谷字小谷1-14,017-739-0115,017-739-0107,http://www.r-aom.co.jp/,リース・レンタル,
橋本産業株式会社,N.A.,青森県,青森市,浜館6-1-11,017-744-0117,N.A.,http://www.hashitatsu.co.jp/,製造・加工（工作機械・一般機械器具）,
さいとうデイサービス,030-0811,青森県,青森市,青柳2丁目6-23,017-774-0119,017-774-0119,http://3110dayservice.blog.shinobi.jp/,介護・福祉,
ライジンググループ／ライジング青森駅前,030-0862,青森県,青森市,古川1丁目3-17,017-775-0120,078-325-2112,http://www.kanematsu-group.co.jp/,屋内遊戯,
青森中央短期大学,030-0132,青森県,青森市,大字横内字神田12-1,017-728-0121,017-738-8333,http://www.chutan.ac.jp/,小・中・高・大学等,
青森明の星高等学校,030-0961,青森県,青森市,浪打2丁目6-32,017-741-0121,017-741-0149,http://www.aomoriakenohoshi.ed.jp/,小・中・高・大学等,
アート引越センター,038-0011,青森県,青森市,篠田1丁目21-21,017-766-0123,N.A.,https://www.the0123.com/,運送・貨物・倉庫,
青森明の星短期大学,030-0961,青森県,青森市,浪打2丁目6-32,017-741-0123,017-741-9876,http://www.aomori-akenohoshi.ac.jp/,小・中・高・大学等,
青森中央学院大学,030-0132,青森県,青森市,大字横内字神田12-1,017-728-0131,017-738-8333,http://www.aomoricgu.ac.jp/,小・中・高・大学等,
株式会社パーツ産業,039-3505,青森県,青森市,大字宮田字玉水515-1,017-737-0135,017-726-4321,http://www.parts-web.net/,建設業・工務店,
