▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
郵便局株式会社,N.A.,千葉県,館山市,見物44-3,0470-29-0001,0470-29-2033,http://map.japanpost.jp/,その他サービス,
郵便局株式会社,N.A.,千葉県,館山市,布良306-1,0470-28-0001,0470-28-2496,http://map.japanpost.jp/,その他サービス,
郵便局株式会社,294-8799,千葉県,館山市,北条1635-3,0470-22-0001,0470-24-8401,http://map.japanpost.jp/,その他サービス,
赤門整形外科内科,N.A.,千葉県,館山市,沼1619,0470-22-0008,N.A.,http://www.akamon.info/,医院・診療所・療養所,
巴寿し,N.A.,千葉県,館山市,大神宮238,0470-28-0009,0470-47-3552,http://www.xn--68j472k6hb.com/,すし,
SEIKEI住宅株式会社,N.A.,千葉県,館山市,上真倉2396-3,0470-24-0030,0470-24-0050,http://www.seikei-j.jp/,不動産,
シダックス館山クラブ,N.A.,千葉県,館山市,北条2557-39,0470-24-0033,0470-24-7772,http://sdx.co.jp/,レストラン,
郵便局株式会社,294-0226,千葉県,館山市,犬石1496,0470-28-0038,0470-28-2290,http://map.japanpost.jp/,その他サービス,
館山市立／房南中学校,N.A.,千葉県,館山市,佐野2070,0470-28-0042,0470-28-0495,http://www.city.tateyama.chiba.jp/,小・中・高・大学等,
なか川・鮨匠,N.A.,千葉県,館山市,長須賀162,0470-22-0044,0470-22-0043,http://www.awa.or.jp/,すし,
館山市立／西岬幼稚園,294-0306,千葉県,館山市,加賀名151,0470-29-0044,0470-29-0044,http://www.city.tateyama.chiba.jp/,幼稚園・保育施設,
館山市立／神戸小学校,N.A.,千葉県,館山市,犬石1496,0470-28-0059,0470-28-2569,http://www.city.tateyama.chiba.jp/,小・中・高・大学等,
館山市立／神余小学校,N.A.,千葉県,館山市,神余1363,0470-28-0065,0470-23-3115,http://www.city.tateyama.chiba.jp/,小・中・高・大学等,
日東商船株式会社夕日桟橋営業所,294-0036,千葉県,館山市,館山1564-1,0470-22-0088,03-5777-1674,http://nitto.ecnet.jp/,交通機関,
株式会社岩瀬商店,N.A.,千葉県,館山市,宮城273,0470-22-0092,0470-22-0592,http://kiwase273.on.omisenomikata.jp/,ガーデニング,
千葉県／警察本部／館山警察署,N.A.,千葉県,館山市,北条1090-2,0470-23-0110,043-227-9271,http://www.police.pref.chiba.jp/,消防・警察,
館山日東バス株式会社,294-0045,千葉県,館山市,北条2201-1,0470-22-0111,0470-22-0115,http://www.tateyamanitto.co.jp/,運送・貨物・倉庫,
日東交通株式会社／館山営業所,N.A.,千葉県,館山市,北条2201-1,0470-22-0113,0470-22-0117,http://www.nitto-kotsu.co.jp/,交通機関,
株式会社たてやま不動産,294-0047,千葉県,館山市,八幡822-1,0470-22-0126,0470-22-0135,http://tate-yama.net/,不動産,
千葉県立安房高等学校,N.A.,千葉県,館山市,八幡385,0470-22-0130,0470-23-1426,http://cms2.chiba-c.ed.jp/,小・中・高・大学等,
お台場海浜庭園,N.A.,千葉県,館山市,洲崎908-22,0470-29-0139,0470-25-7091,http://www.odaibakaihinteien.jp/,キャンプ,
館山シーサイドホテル,N.A.,千葉県,館山市,八幡822,0470-22-0151,0470-23-0692,http://www.tateyamaseaside.com/,ホテル・ペンション,
池田商事株式会社,N.A.,千葉県,館山市,館山948,0470-22-0158,0470-22-0164,http://www.ikeda-sg.co.jp/,不動産,
有限会社サンワコーポレーション,294-0036,千葉県,館山市,館山96,0470-22-0163,0470-22-0321,https://x026327.bizloop.jp/?corp_id=x026327,葬儀,
安房運輸株式会社,N.A.,千葉県,館山市,新宿13,0470-22-0165,0470-22-0170,http://www.awa-exp.com/,運送・貨物・倉庫,
館山野鳥の森管理事務所,N.A.,千葉県,館山市,大神宮553,0470-28-0166,0470-28-0187,http://www.chiba-forest.jp/,都道府県機関,
磯料理の宿伝平,294-0307,千葉県,館山市,波左間944,0470-29-0175,0470-29-0174,http://uminosachi-denbei.com/,魚料理,
千葉県立／館山総合高等学校水産校舎,N.A.,千葉県,館山市,長須賀155,0470-22-0180,0470-23-8944,http://www.chiba-c.ed.jp/,小・中・高・大学等,
林歯科矯正歯科医院,N.A.,千葉県,館山市,館山1052,0470-22-0187,0470-22-0287,http://www.hayashi-ortho.com/,歯科系,
有限会社丸太商店,294-0045,千葉県,館山市,北条1816,0470-22-0196,0470-23-7535,http://www.awa.or.jp/,食料品,
休暇村館山,294-0305,千葉県,館山市,見物725,0470-29-0211,0470-29-0212,http://www.qkamura.or.jp/,公共宿泊施設,
社団法人安房医師会,N.A.,千葉県,館山市,山本1155,0470-22-0228,0470-22-4035,http://www.awa-ishikai.jp/,医院・診療所・療養所,
株式会社こがね,N.A.,千葉県,館山市,塩見233-4,0470-29-0236,0470-29-0244,http://hanashibuki.com/,旅館・民宿,
信和キンシ工場,294-0033,千葉県,館山市,宮城1068,0470-22-0243,0470-23-5301,http://www.shinwakinshi.com/,製造・加工（食料品）,
朝日生命保険相互会社／館山営業所,N.A.,千葉県,館山市,北条1071,0470-22-0273,N.A.,http://www.asahi-life.co.jp/,証券・保険・商品先物,
館山市立／西岬小学校,294-0306,千葉県,館山市,加賀名151,0470-29-0300,0470-27-2022,http://www.city.tateyama.chiba.jp/,小・中・高・大学等,
株式会社風の抄,N.A.,千葉県,館山市,洲崎198-1,0470-29-0301,0470-29-1559,http://sunosaki.com/,旅館・民宿,
アラミス,N.A.,千葉県,館山市,北条2557-10,0470-24-0308,N.A.,http://www.aramis.co.jp/,飲み屋,
水戸証券株式会社,N.A.,千葉県,館山市,北条2207,0470-20-0310,N.A.,http://www.mito.co.jp/,証券・保険・商品先物,
金八商店,N.A.,千葉県,館山市,長須賀323-1,0470-22-0320,0470-23-7302,http://www.kinpachi8.com/,イベント,
ホテル川端,N.A.,千葉県,館山市,西川名855,0470-29-0341,0470-29-0342,http://www.hotelkawabata.co.jp/,旅館・民宿,
小倉米屋,294-0045,千葉県,館山市,北条1134,0470-22-0365,0470-22-0355,http://www.awa.or.jp/,製造・加工（食料品）,
ペンションホワイトキャビン,N.A.,千葉県,館山市,浜田97,0470-29-0373,0470-29-0374,http://www.awa.or.jp/,ホテル・ペンション,
株式会社関電工／館山営業所,294-0017,千葉県,館山市,南条287-1,0470-22-0410,N.A.,http://www.kandenko.co.jp/,家電,
神尾印鋪,N.A.,千葉県,館山市,北条1083,0470-22-0418,0470-23-7856,http://hanko-kamio.com/,文房具,
株式会社さとう,N.A.,千葉県,館山市,北条1625,0470-22-0423,0470-23-8156,https://f410484.bizloop.jp/?corp_id=f410484,建材,
KIYOTAケーキファクトリー,294-0045,千葉県,館山市,北条1901-50,0470-24-0465,0470-24-0465,http://kiyota.awa.jp/,お菓子・スイーツ,
新松,N.A.,千葉県,館山市,北条1559,0470-22-0472,0470-22-2334,http://shinmatu5.web.fc2.com/,魚料理,
明治安田生命保険相互会社千葉南支社館山営業所,N.A.,千葉県,館山市,北条1880-7,0470-22-0497,N.A.,http://www.meijiyasuda.co.jp/,証券・保険・商品先物,
株式会社服部回漕店,294-0034,千葉県,館山市,沼927-3,0470-22-0529,0470-23-8082,http://www.hattori-inc.co.jp/,運送・貨物・倉庫,
館山市立／第二中学校,N.A.,千葉県,館山市,長須賀136,0470-22-0531,0470-22-0898,http://www.city.tateyama.chiba.jp/,小・中・高・大学等,
学校法人安房家政学院,N.A.,千葉県,館山市,北条2311-3,0470-22-0545,0470-22-0415,http://www.anh.ed.jp/,小・中・高・大学等,
小梶商店／長須賀店,294-0037,千葉県,館山市,長須賀162-9,0470-22-0549,0470-22-0755,https://kokaji.com/shop/shop.html,食料品,
JA安房／神戸支店,N.A.,千葉県,館山市,佐野2260-1,0470-28-0559,0470-24-9302,http://www.ja-awa.or.jp/,組合・団体,
ユーロ・ジャパンマシナリー株式会社,N.A.,千葉県,館山市,国分1135-1,0470-24-0580,0470-24-0581,http://www.eurojapanmach.co.jp/,製造・加工（工作機械・一般機械器具）,
株式会社亀屋本店／館山店,294-0045,千葉県,館山市,北条1882,0470-23-0586,04-7095-3261,http://kameyahonten.com/,おみやげ,
喜代ふじ旅館,N.A.,千葉県,館山市,北条1766,0470-22-0599,0470-22-7599,http://www.awa.or.jp/,旅館・民宿,
渡辺建設株式会社,294-0045,千葉県,館山市,北条2365,0470-22-0613,0470-22-0221,http://www.watanabe.co.jp/,総合・職別工事業,
千葉地方法務局／館山支局,N.A.,千葉県,館山市,北条2169-1,0470-22-0620,N.A.,http://houmukyoku.moj.go.jp/,官公署,
館山市立／館山幼稚園,N.A.,千葉県,館山市,沼47,0470-22-0632,0470-23-3115,http://www.city.tateyama.chiba.jp/,幼稚園・保育施設,
有限会社多田商店,294-0037,千葉県,館山市,長須賀95-18,0470-22-0639,0470-22-0815,http://www.awa.or.jp/,燃料,
釣宿六平丸,N.A.,千葉県,館山市,洲崎1272,0470-29-0646,N.A.,http://www.tsurifune.com/,釣り,
シュアラスター株式会社,N.A.,千葉県,館山市,安布里189-1,0470-24-0680,N.A.,http://www.surluster.com/,製造・加工（輸送機械器具）,
清風荘,N.A.,千葉県,館山市,犬石159,0470-28-0697,0470-28-0635,http://tateyama-seifusou.com/,旅館・民宿,
ピース製菓,N.A.,千葉県,館山市,北条1866,0470-22-0699,0470-24-0981,http://www.awa.or.jp/,お菓子・スイーツ,
君津信用組合／館山支店,294-0045,千葉県,館山市,北条1815,0470-22-0708,0438-20-1115,http://kimishin.jp/,金融・郵貯・貸金,
伊勢屋,N.A.,千葉県,館山市,北条2214,0470-22-0721,0470-23-7953,http://www.awa.or.jp/,お菓子・スイーツ,
五右衛門荘,N.A.,千葉県,館山市,伊戸1563-1,0470-29-0739,0470-29-0739,http://www.awa.or.jp/,釣り,
千葉県生涯大学校南房学園,294-0045,千葉県,館山市,北条838,0470-24-0789,0470-23-5231,http://www.chiba-shougaidai.jp/,介護・福祉,
有限会社北村商店,N.A.,千葉県,館山市,館山1,0470-22-0801,0470-24-0301,http://www.kitamura-shoten.co.jp/,食料品,
はなまるうどんイオンタウン館山店,N.A.,千葉県,館山市,八幡545-1,0470-22-0870,03-3549-8710,http://www.hanamaruudon.com/,そば・うどん,
ぬくぬく元祖嵯峨酵素風呂,294-0226,千葉県,館山市,犬石245-1,0470-28-0908,049-223-4712,http://www.kousoburo.net/,美容・コスメ,
有限会社三平商会,N.A.,千葉県,館山市,安布里字増谷743,0470-22-0911,0470-23-0721,http://www.mihira.co.jp/,製造・加工（輸送機械器具）,
ペンションシーガル,N.A.,千葉県,館山市,犬石1687-8,0470-28-0936,0470-28-2743,http://www.awa.or.jp/,ホテル・ペンション,
館山市立／豊房小学校,294-0025,千葉県,館山市,大戸266-2,0470-22-0950,0470-24-2167,http://www.city.tateyama.chiba.jp/,小・中・高・大学等,
ほさか,N.A.,千葉県,館山市,伊戸1164-1,0470-29-0988,0470-29-2179,http://hosakamaru.jp/,釣り,
オーパ・ヴィラージュ,294-0226,千葉県,館山市,犬石1687,0470-28-1000,0470-28-1431,http://opavillage.com/,ホテル・ペンション,
社団法人館山青色申告会,N.A.,千葉県,館山市,北条1491,0470-22-1005,0470-23-6100,http://www.awa.or.jp/,組合・団体,
株式会社みなみインテリア,N.A.,千葉県,館山市,北条266-8,0470-22-1007,0470-28-4123,http://minamiinteria.hp.gogo.jp/,総合・職別工事業,
グラッチェガーデンズ館山店,294-0036,千葉県,館山市,館山1538-1,0470-20-1009,N.A.,http://www.skylark.co.jp/,レストラン,
CUT・PARK館山店,N.A.,千葉県,館山市,北条1227-1,0470-24-1022,0475-24-3006,http://www.cut-park.com/,美容院・理容店・毛髪業,
スシロー館山店,N.A.,千葉県,館山市,高井1771,0470-20-1031,0470-20-1032,http://www.akindo-sushiro.co.jp/,中華・中国料理,
ガスト／館山東店,294-0043,千葉県,館山市,安布里162-1,0470-20-1034,0269-33-4780,http://www.skylark.co.jp/,レストラン,
館山市立／館野小学校,N.A.,千葉県,館山市,山本1028,0470-22-1061,0470-24-2173,http://www.city.tateyama.chiba.jp/,小・中・高・大学等,
有限会社大成,294-0051,千葉県,館山市,正木588-1,0470-20-1078,0470-20-1378,http://www.hawai.co.jp/,屋内遊戯,
ビーチホテル事業有限会社,N.A.,千葉県,館山市,伊戸1535,0470-29-1100,0470-29-0565,http://www.heisaurabeach.com/,ビルメンテナンス,
たてやま循環器内科外科,294-0045,千葉県,館山市,北条2416-30,0470-20-1102,N.A.,http://www.tatejun.com/,外科系,
館山ファミリーパーク,N.A.,千葉県,館山市,布沼1210-252,0470-28-1110,0470-28-1938,http://familypark.jp/,アウトドア,
株式会社オーシャンヴェル館山,N.A.,千葉県,館山市,坂井字翁作772-54,0470-29-1111,0470-29-1783,http://tateyama-cc.com/,ゴルフ,
株式会社安房自然村,294-0234,千葉県,館山市,布良600,0470-28-1111,0470-28-1117,http://www.awa-shizenmura.jp/,屋内遊戯,
中央労働金庫館山支店,N.A.,千葉県,館山市,北条1114-2,0470-22-1111,0470-23-4800,http://chuo.rokin.com/,金融・郵貯・貸金,
安房中村斎場,N.A.,千葉県,館山市,下真倉276-1,0470-23-1112,0470-22-0321,http://www.awa.or.jp/,葬儀,
たてやま整形外科クリニック,294-0045,千葉県,館山市,北条1754,0470-25-1114,0470-22-7057,http://www.tateyama-seikei.com/,外科系,
館山カントリークラブ,N.A.,千葉県,館山市,坂井772-54,0470-29-1115,0470-29-1559,http://tateyama-cc.com/,ゴルフ,
