▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
ラーメンアイリス,314-0031,茨城県,鹿嶋市,宮中7丁目10-21,0299-84-0013,N.A.,http://irisramen.jimdo.com/,ラーメン,
鹿嶋市立／大同東小学校,311-2204,茨城県,鹿嶋市,大字荒井373,0299-69-0022,0299-90-4121,http://www.sopia.or.jp/,小・中・高・大学等,
鹿嶋市立／大野中学校,311-2205,茨城県,鹿嶋市,大字津賀1925-1,0299-69-0023,0299-90-4120,http://www.sopia.or.jp/,小・中・高・大学等,
鹿嶋市立／大同西小学校,311-2206,茨城県,鹿嶋市,大字武井264,0299-69-0027,0299-90-4122,http://city.kashima.ibaraki.jp/,小・中・高・大学等,
かしま整骨院,314-0031,茨城県,鹿嶋市,宮中7丁目6-6,0299-84-0032,0296-20-7703,http://kashimaseikotsuin.on.omisenomikata.jp/,整体等各種療術,
鹿嶋市立／中野西小学校,311-2213,茨城県,鹿嶋市,大字中1729-3,0299-69-0042,0299-90-4124,http://www.sopia.or.jp/,小・中・高・大学等,
しおさい農協／大野支店,311-2203,茨城県,鹿嶋市,大字浜津賀871-1,0299-69-0079,0299-93-5512,http://www.ib-ja.or.jp/,組合・団体,
有限会社ウッディハウス,314-0039,茨城県,鹿嶋市,緑ヶ丘2丁目1-13,0299-85-0092,0299-85-0093,http://www.woody-house.com/,総合・職別工事業,
有限会社三笠園,314-0031,茨城県,鹿嶋市,宮中2丁目5-19,0299-82-0109,0299-84-5163,http://mikasaen.net/,ガーデニング,
茨城県警察本部／鹿嶋警察署,314-0031,茨城県,鹿嶋市,大字宮中1959-1,0299-82-0110,N.A.,http://www.pref.ibaraki.jp/,消防・警察,
鹿島地方事務組合消防本部／鹿嶋消防署,314-0031,茨城県,鹿嶋市,大字宮中4623-1,0299-82-0119,0299-97-0119,http://www.kcj.or.jp/,消防・警察,
鹿島地方事務組合消防本部／大野消防署,311-2215,茨城県,鹿嶋市,大字和707-4,0299-69-0119,0299-92-1434,http://www.kcj.or.jp/,消防・警察,
有限会社オートガレージオオタ／谷原鹿嶋店,314-0023,茨城県,鹿嶋市,大字谷原423,0299-85-0123,0299-85-0125,http://www.ag-ota.co.jp/,自動車販売,
メガネストアー／鹿嶋本店,314-0031,茨城県,鹿嶋市,大字宮中290-2,0299-85-0128,N.A.,http://www.meganestore.co.jp/,生活用品,
ANJUビューティーショップ,314-0033,茨城県,鹿嶋市,鉢形台2丁目18-27,0299-82-0132,0299-82-0132,http://www.anju-j.com/,美容・コスメ,
株式会社ハラキン,311-2202,茨城県,鹿嶋市,大字武井釜812-1,0299-69-0132,0299-69-1653,http://www.hara-kin.com/,販売・卸（食料品）,
バーミヤン／鹿島店,314-0031,茨城県,鹿嶋市,大字宮中314-1,0299-85-0145,N.A.,http://www.skylark.co.jp/,レストラン,
有限会社ハウジング・サポート,314-0002,茨城県,鹿嶋市,大字明石540-20,0299-85-0185,0299-85-0186,http://www.housing-sup.com/,リフォーム,
鹿嶋市立／佐田保育園,314-0027,茨城県,鹿嶋市,大字佐田503,0299-82-0198,0299-83-4316,http://city.kashima.ibaraki.jp/,幼稚園・保育施設,
ヤマハ音楽教室オワリヤ楽器鹿島センター,314-0033,茨城県,鹿嶋市,鉢形台1丁目2-1-201,0299-82-0210,0299-83-4209,https://www.yamaha-ongaku.com/music-school/,音楽,
つくば開成高等学校鹿嶋校,314-0032,茨城県,鹿嶋市,宮下3丁目6-6,0299-84-0220,0299-82-3200,http://t-kaisei.ed.jp/,小・中・高・大学等,
鹿浦小児科医院,314-0036,茨城県,鹿嶋市,大字大船津3163-1,0299-83-0290,0299-82-1501,http://www.kahoiin.or.jp/,小児科系,
株式会社ジャンプ,314-0031,茨城県,鹿嶋市,宮中290-1,0299-85-0291,N.A.,http://www.jumpmeat.co.jp/,食料品,
野口武雄,311-2222,茨城県,鹿嶋市,大字小山1025-4,0299-69-0294,0299-69-0590,http://www.car-life-noguchi.co.jp/,車検・整備・修理,
株式会社丸三老舗／神宮駅前店,314-0032,茨城県,鹿嶋市,宮下2丁目9-6,0299-83-0303,0299-83-0303,http://www.marusanrouho.jp/,お菓子・スイーツ,
居酒屋夕楽亭,314-0031,茨城県,鹿嶋市,宮中7丁目10-11,0299-84-0308,0299-95-7040,http://www.yuurakutei.co.jp/,飲み屋,
志筑電気有限会社,314-0034,茨城県,鹿嶋市,大字鉢形1525-1,0299-82-0308,0299-83-7616,http://www.sopia.or.jp/,不動産,
水戸証券株式会社かしま支店,314-0031,茨城県,鹿嶋市,宮中2丁目5-14,0299-70-0310,0299-84-7370,http://www.mito.co.jp/,証券・保険・商品先物,
みどりが丘ゴルフ,314-0031,茨城県,鹿嶋市,大字宮中4546,0299-82-0330,0299-82-0630,http://www.midorigaokagolf.co.jp/,ゴルフ,
株式会社淺川組,314-0012,茨城県,鹿嶋市,平井2153番地,0299-82-0345,0299-82-0390,http://www.asakawagumi.co.jp/,建設業・工務店,
北関東ペプシコーラ販売株式会社鹿島支店,314-0015,茨城県,鹿嶋市,大字泉川1475-2,0299-84-0383,N.A.,http://www.kkpc.co.jp/,酒・飲料品,
メガネスーパー／鹿嶋店,314-0031,茨城県,鹿嶋市,大字宮中226-1,0299-85-0388,0299-85-0388,http://www.meganesuper.co.jp/,生活用品,
株式会社オーシカ,314-0012,茨城県,鹿嶋市,平井2276-5,0299-84-0426,0299-84-0446,http://www.oshika.co.jp/,製造・加工（化学・プラスチック）,
株式会社北関東マツダ／鹿島店,314-0027,茨城県,鹿嶋市,大字佐田1-56,0299-82-0431,0299-82-0434,http://www.kitakanto-mazda.co.jp/,自動車販売,
ウォーターメイツスイムクラブ,314-0016,茨城県,鹿嶋市,大字国末2657-1,0299-83-0450,0299-83-0340,https://www.watermates.net/,スポーツ,
鹿島の杜カントリー倶楽部,311-2206,茨城県,鹿嶋市,大字武井1877-1,0299-69-0500,0299-69-0742,http://www.kashimanomori.net/,ゴルフ,
篠塚商店,314-0036,茨城県,鹿嶋市,大字大船津2575-1,0299-83-0512,N.A.,http://www11.plala.or.jp/,食料品,
東洋鹿島,314-0034,茨城県,鹿嶋市,大字鉢形1084-24,0299-83-0522,0299-82-4909,http://seven-com.com/,中古品売買,
株式会社NIPPOコーポレーション／鹿島出張所,314-0022,茨城県,鹿嶋市,大字長栖2156-179,0299-82-0537,011-842-8869,http://www.nippo-c.co.jp/,総合・職別工事業,
塩入清,314-0012,茨城県,鹿嶋市,大字平井1-100,0299-82-0538,0299-82-0588,http://kojika-kg.jp/,幼稚園・保育施設,
ヤマダ電機テックランド鹿嶋店,314-0031,茨城県,鹿嶋市,大字宮中333-4,0299-85-0555,0299-85-0524,http://www.yamada-denki.jp/,家電,
